                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.3037,                 3.1961,                 2.1674,                0.57082,                0.03246,                0.03131,                0.01381,                 2.5467,                 3.5421,                 2.5249,               0.006733,               0.006733,               0.006733
                     35,                    2.3,                 3.2402,                 2.1899,                0.40322,                0.04791,                0.02005,                0.00862,                 2.9646,                 40.367,                 4.9139,               0.006634,               0.006634,               0.006634
                     36,                 2.2612,                 3.1761,                 2.1588,                0.29863,                0.05673,                 0.0336,                0.02024,                 2.3175,                 4.3493,                  2.415,               0.006535,               0.006535,               0.006535
                     37,                 2.2829,                  3.236,                 2.1873,                0.22845,                0.03427,                0.01704,                0.00758,                 2.8591,                 7.1709,                 3.4591,               0.006436,               0.006436,               0.006436
                     38,                 2.2899,                 3.2691,                 2.2151,                0.24718,                0.08693,                0.03073,                0.01489,                 2.3234,                 4.6038,                 2.3741,               0.006337,               0.006337,               0.006337
                     39,                  2.247,                 3.1973,                 2.1463,                0.25279,                0.09922,                0.03818,                0.02148,                 2.4698,                  3.604,                 2.4508,               0.006238,               0.006238,               0.006238
                     40,                 2.2288,                 3.1463,                 2.1218,                0.23085,                0.06995,                0.03134,                0.01662,                 2.3284,                 3.4012,                 2.2841,               0.006139,               0.006139,               0.006139
                     41,                 2.2517,                 3.2075,                 2.1755,                0.24468,                0.07729,                0.02869,                0.01404,                  2.375,                 3.5577,                 2.5534,                0.00604,                0.00604,                0.00604
                     42,                 2.2302,                 3.1744,                 2.1536,                0.30887,                 0.0717,                0.04016,                0.02444,                 2.2711,                 4.2509,                 2.3498,               0.005941,               0.005941,               0.005941
                     43,                 2.2299,                 3.1904,                 2.0856,                0.22926,                0.05086,                0.02868,                0.01419,                 2.3227,                 3.8896,                 2.3846,               0.005842,               0.005842,               0.005842
                     44,                 2.2569,                 3.2109,                 2.1663,                0.40745,                0.03794,                0.03862,                0.01841,                 2.2913,                 3.6942,                 2.3771,               0.005743,               0.005743,               0.005743
                     45,                 2.2053,                 3.0924,                 2.0851,                0.54605,                0.02208,                0.01495,                0.00498,                 2.8725,                 3.7719,                 3.3553,               0.005644,               0.005644,               0.005644
                     46,                 2.2038,                 3.1463,                 2.0767,                0.37249,                0.05551,                0.02603,                0.00931,                 2.5683,                 4.7447,                 2.5779,               0.005545,               0.005545,               0.005545
                     47,                 2.2337,                 3.1577,                 2.1464,                0.21687,                0.05452,                0.01969,                0.01011,                 2.3131,                 3.7777,                 2.4073,               0.005446,               0.005446,               0.005446
                     48,                 2.2239,                 3.1236,                 2.1325,                 0.2044,                0.00224,                 0.0013,                0.00078,                 2.5798,                  26.96,                 3.1098,               0.005347,               0.005347,               0.005347
                     49,                 2.1703,                 3.0997,                 2.1023,                 0.2392,                0.06601,                0.03657,                0.02035,                 2.3103,                 3.7221,                 2.3883,               0.005248,               0.005248,               0.005248
                     50,                 2.2334,                 3.1502,                 2.1334,                0.23693,                0.08057,                0.03549,                0.02021,                 2.2791,                  4.103,                 2.2883,               0.005149,               0.005149,               0.005149
                     51,                 2.2024,                 3.0792,                 2.0954,                0.41424,                0.04554,                0.04021,                0.02342,                 2.2949,                 3.4331,                 2.4483,                0.00505,                0.00505,                0.00505
                     52,                 2.2323,                 3.1035,                 2.1187,                 0.3793,                0.04192,                0.02712,                0.01471,                 2.3163,                 3.3629,                  2.415,               0.004951,               0.004951,               0.004951
                     53,                 2.1987,                 3.0221,                 2.0684,                0.36997,                0.04284,                0.01751,                0.00858,                 2.3237,                 4.4869,                 2.4634,               0.004852,               0.004852,               0.004852
                     54,                 2.2183,                 3.1402,                 2.1071,                0.22012,                0.10801,                0.01984,                0.01156,                 2.3563,                 11.783,                 2.5957,               0.004753,               0.004753,               0.004753
                     55,                 2.1841,                 3.1122,                 2.0875,                0.22466,                0.06917,                0.01969,                0.01033,                 2.3197,                 5.4578,                 2.4521,               0.004654,               0.004654,               0.004654
                     56,                 2.1461,                 3.0516,                 2.0699,                0.34405,                0.06653,                0.02662,                0.01516,                 2.2604,                 4.2134,                 2.3662,               0.004555,               0.004555,               0.004555
                     57,                 2.1521,                 3.0383,                 2.0713,                0.23432,                0.05544,                0.03275,                0.01782,                 2.2583,                 3.2437,                 2.2403,               0.004456,               0.004456,               0.004456
                     58,                 2.1654,                 3.0749,                 2.0629,                0.54483,                0.03612,                0.01915,                0.00977,                 2.3886,                 5.5921,                  2.543,               0.004357,               0.004357,               0.004357
                     59,                 2.2076,                 3.0712,                 2.0863,                0.28638,                0.07423,                0.03305,                0.01887,                 2.2131,                 3.5335,                   2.35,               0.004258,               0.004258,               0.004258
                     60,                 2.1336,                 3.0231,                 2.0652,                0.37859,                0.04813,                0.02656,                0.01442,                 2.2394,                 3.6141,                 2.3024,               0.004159,               0.004159,               0.004159
                     61,                 2.1708,                 3.0091,                 2.0636,                0.22721,                0.08199,                0.03474,                0.01947,                 2.2225,                   3.51,                 2.2324,                0.00406,                0.00406,                0.00406
                     62,                 2.1642,                 3.0593,                 2.0844,                0.39586,                0.07638,                0.03685,                0.02051,                 2.1359,                 3.6071,                 2.2351,               0.003961,               0.003961,               0.003961
                     63,                 2.1368,                 3.0351,                 2.0363,                0.28418,                0.07098,                 0.0291,                0.01594,                 2.2355,                 5.5606,                 2.3948,               0.003862,               0.003862,               0.003862
                     64,                 2.1216,                 3.0066,                 2.0257,                0.37924,                0.04945,                0.03388,                0.01914,                 2.2539,                 3.4821,                 2.2425,               0.003763,               0.003763,               0.003763
                     65,                 2.1399,                 3.0094,                 2.0301,                 0.2499,                0.07426,                0.03779,                0.02115,                 2.1993,                  3.383,                 2.2172,               0.003664,               0.003664,               0.003664
                     66,                 2.1311,                 3.0066,                 2.0356,                0.23004,                0.06024,                0.03105,                0.01816,                 2.2206,                 4.2451,                 2.2847,               0.003565,               0.003565,               0.003565
                     67,                 2.1403,                 2.9752,                  2.033,                0.39386,                0.06724,                0.03676,                 0.0216,                 2.2318,                 4.5172,                 2.2838,               0.003466,               0.003466,               0.003466
                     68,                 2.1382,                 3.0219,                 2.0206,                0.21659,                 0.0762,                0.03527,                0.01849,                 2.2059,                 3.4362,                 2.2483,               0.003367,               0.003367,               0.003367
                     69,                 2.1003,                 2.9521,                 2.0085,                0.31002,                0.07552,                0.03626,                0.02053,                 2.1365,                 3.9469,                  2.251,               0.003268,               0.003268,               0.003268
                     70,                 2.1474,                 3.0366,                 2.0494,                0.39323,                0.06808,                0.03275,                0.01891,                 2.2207,                 3.3803,                 2.1859,               0.003169,               0.003169,               0.003169
                     71,                 2.1212,                  2.964,                 2.0112,                0.22421,                0.07538,                0.03318,                0.01807,                 2.1053,                 3.3342,                 2.1652,                0.00307,                0.00307,                0.00307
                     72,                 2.1186,                 2.9567,                  2.029,                0.40487,                 0.0526,                0.03479,                0.01778,                 2.1687,                   3.49,                 2.2236,               0.002971,               0.002971,               0.002971
                     73,                 2.1297,                 2.9784,                 2.0509,                0.37788,                 0.0827,                0.02783,                0.01571,                 2.1426,                 4.2295,                 2.2712,               0.002872,               0.002872,               0.002872
                     74,                 2.0837,                 2.9628,                 2.0061,                0.22628,                0.07356,                0.03614,                0.01868,                 2.1445,                 3.6242,                 2.2197,               0.002773,               0.002773,               0.002773
                     75,                 2.1343,                 2.9944,                 2.0622,                0.21514,                0.07479,                0.04464,                0.02296,                 2.1505,                 3.2621,                 2.1719,               0.002674,               0.002674,               0.002674
                     76,                 2.0512,                 2.9009,                 1.9529,                0.39457,                0.06399,                0.03534,                0.01763,                  2.217,                 4.2103,                 2.3364,               0.002575,               0.002575,               0.002575
                     77,                 2.0787,                 2.9167,                 1.9768,                0.22172,                0.07436,                0.03861,                 0.0212,                 2.1263,                 3.5651,                 2.2175,               0.002476,               0.002476,               0.002476
