                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0852,                 1.6584,                 1.1236,                0.35699,                 0.2591,                0.19962,                0.14865,                 1.1885,                 1.9769,                 1.2626,               0.006733,               0.006733,               0.006733
                     36,                 1.0914,                 1.6232,                 1.1335,                0.34829,                0.23241,                0.17093,                 0.1235,                 1.2155,                 1.9466,                  1.285,               0.006634,               0.006634,               0.006634
                     37,                  1.071,                 1.6146,                  1.121,                0.40234,                0.21086,                 0.1981,                0.14217,                 1.2173,                 1.8673,                 1.2849,               0.006535,               0.006535,               0.006535
                     38,                   1.09,                 1.6578,                 1.1221,                 0.3689,                0.23059,                0.17469,                0.12531,                 1.1723,                 1.9377,                 1.2443,               0.006436,               0.006436,               0.006436
                     39,                 1.0769,                 1.6278,                 1.1144,                0.50065,                0.20441,                0.16192,                0.11231,                 1.2028,                 1.9393,                 1.2962,               0.006337,               0.006337,               0.006337
                     40,                 1.0444,                 1.6075,                 1.1002,                0.42484,                0.27791,                0.18703,                 0.1314,                 1.2303,                 1.8678,                 1.3077,               0.006238,               0.006238,               0.006238
                     41,                 1.0517,                 1.5736,                  1.112,                0.40056,                  0.227,                0.17012,                 0.1176,                 1.1839,                 1.8497,                  1.253,               0.006139,               0.006139,               0.006139
                     42,                 1.0596,                 1.5674,                 1.1007,                0.54787,                0.21114,                0.17144,                0.12261,                 1.1876,                 1.8922,                 1.2544,                0.00604,                0.00604,                0.00604
                     43,                 1.0505,                 1.5625,                 1.1084,                0.39577,                0.24384,                 0.1846,                0.13193,                 1.1642,                 1.8755,                 1.2461,               0.005941,               0.005941,               0.005941
                     44,                 1.0551,                 1.5453,                  1.102,                0.37448,                0.27318,                0.17375,                 0.1221,                  1.208,                 1.9194,                 1.2696,               0.005842,               0.005842,               0.005842
                     45,                 1.0613,                 1.5731,                  1.106,                0.42081,                 0.2368,                 0.1775,                0.12668,                 1.1878,                 1.9055,                 1.2804,               0.005743,               0.005743,               0.005743
                     46,                  1.015,                 1.5185,                 1.0843,                0.49168,                0.19889,                0.17817,                0.12608,                 1.1998,                 1.9732,                 1.2741,               0.005644,               0.005644,               0.005644
                     47,                 1.0374,                 1.5422,                 1.0913,                 0.4938,                0.23789,                0.18825,                0.13404,                 1.1786,                 1.8781,                 1.2572,               0.005545,               0.005545,               0.005545
                     48,                  1.032,                 1.5131,                  1.099,                0.36442,                0.27369,                0.19675,                0.13919,                 1.2062,                 1.9029,                 1.2721,               0.005446,               0.005446,               0.005446
                     49,                 1.0391,                 1.5065,                 1.0894,                0.38206,                 0.2351,                0.17533,                0.12507,                 1.2081,                 1.9194,                 1.2802,               0.005347,               0.005347,               0.005347
