                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0938,                 1.8668,                 1.0552,                0.47752,                0.25132,                 0.1963,                0.13825,                 1.0871,                 2.0252,                 1.0835,             0.00068003,             0.00068003,             0.00068003
                     34,                 1.1263,                 1.8645,                 1.0623,                0.49814,                0.24799,                0.18872,                0.12774,                 1.1035,                  2.021,                 1.0983,             0.00067003,             0.00067003,             0.00067003
                     35,                 1.0867,                 1.8382,                 1.0524,                0.42862,                0.27696,                0.17751,                0.11882,                 1.0952,                 2.0578,                 1.0786,             0.00066003,             0.00066003,             0.00066003
                     36,                 1.1116,                 1.8579,                 1.0761,                 0.3191,                0.26156,                0.20046,                0.13634,                 1.0656,                 2.0098,                 1.0781,             0.00065004,             0.00065004,             0.00065004
                     37,                 1.0901,                 1.8204,                 1.0584,                0.48208,                0.23853,                0.20222,                0.13862,                 1.0605,                 2.0162,                 1.0764,             0.00064004,             0.00064004,             0.00064004
                     38,                 1.0899,                 1.7918,                 1.0517,                0.47601,                0.27376,                0.20023,                0.13409,                 1.0631,                 2.0289,                 1.0601,             0.00063004,             0.00063004,             0.00063004
                     39,                 1.1066,                 1.8269,                 1.0615,                0.30229,                0.25454,                0.20123,                0.13888,                 1.0614,                 2.0163,                 1.0691,             0.00062004,             0.00062004,             0.00062004
                     40,                 1.0912,                 1.8252,                 1.0575,                0.34625,                0.26326,                0.19855,                0.13785,                 1.0375,                  2.026,                 1.0568,             0.00061004,             0.00061004,             0.00061004
                     41,                 1.0981,                 1.8289,                 1.0567,                0.57211,                0.21173,                0.18293,                0.12459,                 1.0561,                 2.0323,                 1.0619,             0.00060004,             0.00060004,             0.00060004
                     42,                 1.0842,                 1.7666,                 1.0532,                0.33172,                0.25811,                0.19905,                0.13986,                 1.0652,                 2.0003,                 1.0679,             0.00059004,             0.00059004,             0.00059004
