                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3196,                 2.0561,                 1.2835,                0.45121,                0.22111,                0.09945,                0.06784,                 1.2796,                 2.2321,                 1.3136,               0.006733,               0.006733,               0.006733
                     36,                 1.2918,                 2.0728,                 1.2776,                0.47467,                0.18772,                0.09261,                0.06338,                 1.3174,                 2.3347,                 1.3518,               0.006634,               0.006634,               0.006634
                     37,                 1.2913,                 2.0465,                  1.263,                0.47029,                0.15875,                 0.1021,                0.07163,                 1.2925,                 2.1659,                 1.3207,               0.006535,               0.006535,               0.006535
                     38,                 1.2978,                 2.0639,                 1.2799,                0.51949,                0.19568,                0.11577,                0.07996,                 1.2786,                 2.1698,                 1.3501,               0.006436,               0.006436,               0.006436
                     39,                 1.3199,                 2.0438,                 1.2843,                0.46894,                 0.1922,                0.10156,                0.06988,                 1.2954,                 2.1923,                 1.3298,               0.006337,               0.006337,               0.006337
                     40,                 1.2863,                  2.033,                 1.2619,                 0.3153,                0.17468,                0.11945,                0.08054,                 1.2375,                 2.1149,                  1.299,               0.006238,               0.006238,               0.006238
                     41,                 1.2565,                 2.0249,                 1.2579,                0.47385,                0.21664,                0.11456,                0.08157,                 1.2678,                 2.1455,                 1.3238,               0.006139,               0.006139,               0.006139
                     42,                 1.2712,                 2.0133,                 1.2582,                0.32593,                0.18938,                0.11055,                 0.0739,                 1.2952,                  2.105,                 1.3287,                0.00604,                0.00604,                0.00604
                     43,                 1.2659,                 1.9808,                 1.2557,                0.34728,                0.19305,                 0.1158,                0.07898,                 1.2241,                 2.0517,                 1.2647,               0.005941,               0.005941,               0.005941
                     44,                 1.2801,                 2.0051,                 1.2587,                0.36507,                0.20033,                0.11742,                0.08145,                 1.2539,                 2.1462,                 1.2961,               0.005842,               0.005842,               0.005842
                     45,                 1.2639,                 1.9747,                 1.2565,                0.49124,                0.23363,                0.13436,                 0.0973,                 1.2491,                 2.0843,                 1.3147,               0.005743,               0.005743,               0.005743
                     46,                 1.2377,                 1.9493,                 1.2507,                0.33395,                0.23044,                0.11515,                0.08137,                 1.1973,                 2.0639,                 1.2839,               0.005644,               0.005644,               0.005644
                     47,                 1.2461,                 1.9478,                 1.2293,                0.46313,                 0.2262,                0.12471,                0.08941,                 1.2276,                 2.0552,                 1.2887,               0.005545,               0.005545,               0.005545
                     48,                 1.2322,                 1.9347,                 1.2258,                0.31984,                0.25024,                0.13632,                0.09905,                 1.2159,                 2.0209,                 1.2812,               0.005446,               0.005446,               0.005446
                     49,                 1.2465,                 1.9497,                 1.2392,                0.46421,                0.22995,                0.14256,                0.10182,                 1.2092,                 2.0514,                 1.2713,               0.005347,               0.005347,               0.005347
                     50,                 1.2367,                 1.9631,                 1.2386,                0.22141,                0.41251,                 0.1302,                0.09822,                 1.2352,                 2.0684,                 1.2967,               0.005248,               0.005248,               0.005248
                     51,                 1.2152,                 1.9105,                 1.2202,                0.45022,                0.19952,                0.13186,                0.10033,                 1.2283,                 2.1246,                  1.286,               0.005149,               0.005149,               0.005149
                     52,                 1.2048,                 1.8923,                 1.2055,                0.19912,                0.19826,                0.13425,                0.09662,                 1.2441,                 2.0064,                 1.2876,                0.00505,                0.00505,                0.00505
                     53,                 1.2025,                 1.9029,                 1.2195,                0.34742,                0.23977,                0.16876,                0.12474,                 1.2073,                 2.0859,                 1.2811,               0.004951,               0.004951,               0.004951
                     54,                 1.2028,                 1.9011,                 1.2244,                0.49073,                 0.1811,                0.16779,                0.12107,                 1.1799,                 2.0211,                 1.2669,               0.004852,               0.004852,               0.004852
                     55,                 1.1915,                 1.8823,                 1.2268,                0.39799,                0.21388,                0.15446,                0.10817,                 1.2946,                 2.0645,                 1.3172,               0.004753,               0.004753,               0.004753
                     56,                  1.205,                 1.9079,                 1.2362,                0.54469,                0.18804,                0.15434,                0.10725,                 1.1981,                 1.9798,                 1.2638,               0.004654,               0.004654,               0.004654
                     57,                 1.1934,                 1.8681,                 1.2135,                 0.5094,                0.21299,                0.17401,                0.12996,                 1.1462,                 1.9622,                 1.2502,               0.004555,               0.004555,               0.004555
                     58,                 1.1875,                 1.8778,                 1.2019,                0.48445,                0.25063,                0.14729,                0.10796,                 1.1867,                 2.0326,                 1.2683,               0.004456,               0.004456,               0.004456
                     59,                 1.1563,                 1.8207,                 1.1986,                0.18882,                0.25861,                0.17462,                0.13111,                 1.2063,                 1.9838,                 1.2672,               0.004357,               0.004357,               0.004357
                     60,                 1.1921,                  1.837,                 1.2173,                0.29764,                0.25111,                 0.1657,                0.12329,                 1.2127,                 2.0662,                 1.2846,               0.004258,               0.004258,               0.004258
                     61,                 1.1846,                 1.8436,                 1.2019,                0.19538,                0.26816,                0.17435,                0.12981,                 1.2125,                 2.0613,                 1.2861,               0.004159,               0.004159,               0.004159
                     62,                 1.1463,                 1.7989,                 1.1834,                0.44321,                0.20372,                0.20779,                 0.1583,                 1.1484,                 1.9407,                 1.2376,                0.00406,                0.00406,                0.00406
                     63,                  1.174,                 1.8346,                 1.1993,                0.38667,                0.23321,                0.18766,                0.13756,                 1.1554,                 1.9134,                 1.2558,               0.003961,               0.003961,               0.003961
                     64,                  1.155,                 1.8123,                 1.1886,                0.14321,                0.23985,                0.15403,                0.11347,                 1.1621,                  1.948,                 1.2504,               0.003862,               0.003862,               0.003862
                     65,                 1.1773,                 1.8135,                 1.2023,                0.40099,                0.22724,                0.17047,                 0.1241,                 1.1955,                 1.9221,                 1.2738,               0.003763,               0.003763,               0.003763
                     66,                 1.1644,                 1.8167,                 1.1989,                0.31228,                0.24076,                0.17051,                0.13121,                 1.1703,                 1.9593,                 1.2351,               0.003664,               0.003664,               0.003664
                     67,                 1.1351,                 1.7893,                 1.1842,                0.46226,                0.24411,                0.18016,                0.13584,                 1.1487,                 1.8981,                 1.2468,               0.003565,               0.003565,               0.003565
                     68,                 1.1319,                 1.7594,                 1.1715,                0.21275,                 0.2542,                0.17652,                0.13373,                 1.1644,                 1.9185,                 1.2445,               0.003466,               0.003466,               0.003466
