                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1057,                 1.5727,                 1.0752,                0.47719,                0.25952,                0.19906,                0.13641,                 1.1805,                 1.9611,                 1.1748,               0.006733,               0.006733,               0.006733
                     35,                 1.0837,                 1.5555,                 1.0767,                0.53734,                0.24749,                0.18899,                0.12904,                 1.1846,                 2.0477,                 1.1809,               0.006634,               0.006634,               0.006634
                     36,                 1.0809,                 1.5177,                 1.0644,                0.45652,                0.26639,                0.17105,                0.11835,                 1.1449,                 1.9948,                 1.1529,               0.006535,               0.006535,               0.006535
                     37,                  1.089,                 1.5192,                 1.0776,                0.54206,                0.26785,                0.20147,                0.13824,                 1.1681,                 2.0004,                 1.1706,               0.006436,               0.006436,               0.006436
                     38,                  1.077,                 1.4886,                  1.065,                0.23168,                0.27585,                0.17777,                0.12161,                 1.1465,                 2.1063,                  1.142,               0.006337,               0.006337,               0.006337
                     39,                 1.0728,                 1.4442,                 1.0596,                0.46083,                0.25706,                0.21522,                0.14673,                 1.1699,                 2.0107,                 1.1531,               0.006238,               0.006238,               0.006238
                     40,                 1.0399,                 1.4311,                 1.0527,                0.34497,                0.26993,                0.23604,                0.16323,                 1.1856,                 2.0118,                 1.1704,               0.006139,               0.006139,               0.006139
                     41,                 1.0676,                 1.4586,                 1.0641,                0.55468,                 0.1964,                0.16763,                0.11632,                 1.1581,                   2.12,                 1.1443,                0.00604,                0.00604,                0.00604
                     42,                 1.0381,                 1.3988,                 1.0487,                0.25682,                0.29635,                0.18734,                0.12559,                 1.1851,                 1.9876,                 1.1611,               0.005941,               0.005941,               0.005941
                     43,                 1.0708,                 1.4002,                 1.0566,                0.23353,                0.24325,                0.19088,                0.13079,                 1.2001,                 1.9687,                 1.2054,               0.005842,               0.005842,               0.005842
                     44,                 1.0402,                 1.3801,                  1.045,                0.37903,                  0.275,                0.20311,                0.14029,                 1.1435,                  1.948,                 1.1535,               0.005743,               0.005743,               0.005743
                     45,                 1.0379,                 1.3388,                 1.0522,                0.24956,                0.24927,                0.20975,                0.14346,                 1.1616,                 2.0092,                 1.1493,               0.005644,               0.005644,               0.005644
                     46,                 1.0208,                 1.3297,                 1.0305,                0.25122,                0.29449,                0.22786,                0.16323,                 1.1396,                 1.9566,                 1.1419,               0.005545,               0.005545,               0.005545
