                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.98787,                 1.6647,                 1.0176,                0.57633,                0.30097,                0.25971,                0.17996,                0.98055,                 1.9452,                 1.0612,             0.00052862,             0.00052862,             0.00052862
                     35,                0.96556,                 1.6315,                  1.009,                0.57864,                0.31058,                0.27467,                0.19893,                0.95923,                 1.8841,                 1.0391,             0.00051433,             0.00051433,             0.00051433
                     36,                0.96735,                 1.6256,                 1.0131,                0.49297,                0.31289,                0.26501,                0.18327,                0.97985,                 1.9412,                 1.0615,             0.00050005,             0.00050005,             0.00050005
                     37,                0.96651,                 1.6048,                 1.0124,                0.52367,                0.31482,                0.26323,                0.18142,                0.95669,                 1.8504,                 1.0477,             0.00048577,             0.00048577,             0.00048577
                     38,                0.96229,                 1.5991,                 1.0062,                0.66121,                0.22996,                0.25329,                0.17755,                0.97771,                  1.972,                 1.0495,             0.00047148,             0.00047148,             0.00047148
                     39,                0.97188,                 1.5969,                 1.0086,                0.53095,                0.29072,                0.25516,                0.17942,                0.97929,                 1.8895,                 1.0653,              0.0004572,              0.0004572,              0.0004572
                     40,                0.95139,                 1.5744,                 1.0056,                0.56288,                0.29273,                 0.2757,                0.20005,                0.97447,                 1.8893,                 1.0597,             0.00044291,             0.00044291,             0.00044291
                     41,                0.95606,                 1.5754,                 1.0025,                0.57771,                0.29267,                0.24497,                0.16939,                0.98511,                  1.886,                 1.0564,             0.00042863,             0.00042863,             0.00042863
                     42,                0.93579,                 1.5164,                0.99598,                0.50872,                0.31025,                0.23959,                0.17147,                0.99342,                 1.9303,                 1.0642,             0.00041434,             0.00041434,             0.00041434
                     43,                0.94723,                 1.5399,                0.99387,                0.55005,                0.30446,                0.26754,                0.18972,                0.95236,                 1.8878,                 1.0513,             0.00040006,             0.00040006,             0.00040006
                     44,                0.93612,                 1.4764,                 0.9906,                0.50495,                0.30369,                0.27012,                0.19593,                0.96796,                 1.9038,                 1.0425,             0.00038578,             0.00038578,             0.00038578
                     45,                0.93619,                 1.5041,                 1.0066,                0.61766,                 0.2789,                0.27174,                0.20053,                0.95363,                 1.8854,                  1.048,             0.00037149,             0.00037149,             0.00037149
                     46,                0.93958,                 1.4797,                0.99614,                0.34399,                0.30245,                 0.2607,                0.19062,                0.95676,                  1.878,                 1.0499,             0.00035721,             0.00035721,             0.00035721
                     47,                0.91837,                 1.4551,                0.98494,                0.54277,                0.26635,                0.25044,                0.18115,                0.99024,                 1.9112,                  1.064,             0.00034292,             0.00034292,             0.00034292
                     48,                0.92797,                 1.4491,                 0.9862,                0.31825,                 0.3234,                0.24423,                0.16688,                0.96352,                 1.9354,                 1.0434,             0.00032864,             0.00032864,             0.00032864
                     49,                0.93661,                 1.4432,                0.98832,                0.63341,                0.25595,                0.26564,                0.18603,                0.93679,                 1.8759,                 1.0326,             0.00031435,             0.00031435,             0.00031435
                     50,                0.91199,                 1.3997,                0.98255,                0.34364,                0.32276,                0.25877,                0.18184,                0.92612,                 1.8992,                 1.0306,             0.00030007,             0.00030007,             0.00030007
                     51,                0.90083,                 1.3892,                 0.9735,                0.34288,                0.29953,                0.25238,                0.17782,                0.94812,                 1.9623,                 1.0339,             0.00028579,             0.00028579,             0.00028579
                     52,                0.90296,                 1.3808,                0.98299,                0.49223,                0.27568,                0.25945,                0.18992,                0.96364,                 1.9412,                 1.0479,              0.0002715,              0.0002715,              0.0002715
                     53,                0.91138,                 1.3966,                0.98435,                0.29137,                0.31965,                0.25546,                0.18182,                0.95497,                 1.9375,                 1.0502,             0.00025722,             0.00025722,             0.00025722
                     54,                0.88904,                 1.3812,                0.97877,                 0.3109,                 0.3039,                0.24692,                0.17743,                0.96358,                 1.9863,                 1.0456,             0.00024293,             0.00024293,             0.00024293
                     55,                0.91261,                 1.3899,                0.97672,                0.36839,                0.25894,                0.25471,                 0.1855,                0.95229,                 1.9362,                 1.0372,             0.00022865,             0.00022865,             0.00022865
                     56,                0.90385,                  1.355,                0.98666,                0.27282,                 0.3197,                0.22661,                0.16155,                 0.9617,                 2.0104,                  1.047,             0.00021436,             0.00021436,             0.00021436
                     57,                0.89413,                 1.3661,                0.97342,                0.27718,                0.31143,                0.22161,                0.15564,                0.97211,                 1.9927,                 1.0538,             0.00020008,             0.00020008,             0.00020008
                     58,                 0.8935,                 1.3339,                0.97482,                0.50056,                0.29452,                0.25465,                0.18465,                0.95405,                 1.9328,                 1.0518,              0.0001858,              0.0001858,              0.0001858
                     59,                0.90351,                 1.3364,                0.97376,                0.32208,                0.28137,                 0.2552,                0.18682,                0.95704,                 1.9182,                 1.0492,             0.00017151,             0.00017151,             0.00017151
                     60,                0.90073,                 1.3217,                 0.9752,                0.32531,                0.30132,                0.25316,                0.18142,                0.95428,                 1.9192,                 1.0466,             0.00015723,             0.00015723,             0.00015723
                     61,                0.87613,                 1.3113,                0.97018,                0.32018,                0.30845,                0.24761,                0.17696,                 0.9628,                 1.9287,                 1.0409,             0.00014294,             0.00014294,             0.00014294
                     62,                0.89614,                 1.3331,                0.97287,                0.32803,                0.31748,                0.26436,                0.18953,                0.96074,                 1.8794,                 1.0447,             0.00012866,             0.00012866,             0.00012866
                     63,                 0.8859,                 1.2809,                0.96506,                0.30116,                 0.3279,                0.25792,                0.18705,                0.97055,                 1.9055,                 1.0506,             0.00011437,             0.00011437,             0.00011437
                     64,                0.86033,                 1.2904,                0.97564,                0.30832,                0.33296,                0.26893,                0.19367,                0.96682,                 1.8665,                 1.0463,             0.00010009,             0.00010009,             0.00010009
                     65,                0.88287,                 1.2802,                0.96784,                0.32232,                0.31584,                0.26358,                  0.188,                0.96456,                 1.8915,                 1.0471,             8.5806e-05,             8.5806e-05,             8.5806e-05
                     66,                0.85948,                 1.2659,                0.96757,                0.31485,                0.31518,                0.26006,                0.18607,                 0.9705,                 1.9167,                 1.0479,             7.1521e-05,             7.1521e-05,             7.1521e-05
                     67,                0.88411,                 1.2842,                0.97106,                0.31026,                0.31527,                0.25729,                0.18613,                0.96952,                 1.8989,                 1.0514,             5.7237e-05,             5.7237e-05,             5.7237e-05
                     68,                0.88266,                 1.2882,                 0.9712,                0.29683,                0.31922,                0.26553,                0.19183,                0.96563,                 1.8874,                 1.0502,             4.2953e-05,             4.2953e-05,             4.2953e-05
                     69,                0.87489,                 1.2726,                0.95871,                0.31053,                0.31309,                0.28406,                 0.2087,                0.95534,                 1.8835,                  1.046,             2.8669e-05,             2.8669e-05,             2.8669e-05
